일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,446,174665,130903500,51002180000.0
2021-03-30,5,142419,1480000,42512071500.0
2021-03-29,553,150484,156864000,42737456000.0
2021-03-26,98,147700,27748500,41872950000.0
2021-03-25,347,151180,98778500,43010710000.0
2021-03-24,0,153491,0,43437953000.0
2021-03-23,0,155612,0,44582838000.0
2021-03-22,188,161157,55366000,47057844000.0
2021-03-19,752,190850,224566000,57255000000.0
2021-03-18,379,194319,114271500,58004221500.0
2021-03-17,658,197904,196037000,58579584000.0
2021-03-16,7,203375,2127000,61724312500.0
2021-03-15,285,207963,87023500,62804826000.0
2021-03-12,299,198815,90746500,60340352500.0
2021-03-11,4,202983,1176000,59677002000.0
2021-03-10,5,192896,1502500,55939840000.0
2021-03-09,4,191062,1200000,56649883000.0
2021-03-08,3,190486,904500,57431529000.0
2021-03-05,1876,191843,569490500,58512115000.0
2021-03-04,1377,186613,426682500,57943336500.0
2021-03-03,1,198156,313500,62121906000.0
2021-03-02,200,209307,62080000,64571209500.0
2021-02-26,1286,220621,398705000,66848163000.0
2021-02-25,1000,212007,310060000,66676201500.0
2021-02-24,0,221417,0,68639270000.0
2021-02-23,4,221870,1300000,72107750000.0
2021-02-22,8,224453,2585000,72498319000.0
2021-02-19,1005,216551,324043500,69621146500.0
2021-02-18,1000,225147,322500000,71596746000.0
2021-02-17,1004,216024,328767000,70315812000.0
2021-02-16,0,198814,0,66403876000.0
2021-02-15,0,192379,0,64062207000.0
2021-02-10,2,187144,652000,62038236000.0
2021-02-09,55,192067,17847500,62517808500.0
2021-02-08,2,192192,648000,61885824000.0
2021-02-05,2,193497,705000,68207692500.0
2021-02-04,3,194101,1074000,69488158000.0
2021-02-03,232,184950,83901000,64270125000.0
2021-02-02,71,184811,23796000,61819279500.0
2021-02-01,2243,184302,732665500,61833321000.0
2021-01-29,2788,187537,891898000,59542997500.0
2021-01-28,9,192527,2979000,63726437000.0
2021-01-27,1539,183266,517862000,60202881000.0
2021-01-26,0,182660,0,61739080000.0
2021-01-25,47,170910,16332500,59391225000.0
2021-01-22,75,169274,26778000,59245900000.0
2021-01-21,0,168338,0,60770018000.0
2021-01-20,0,167798,0,57386916000.0
2021-01-19,2882,163863,984421000,56532735000.0
2021-01-18,14,163075,4529000,52754762500.0
2021-01-15,0,165505,0,53209857500.0
2021-01-14,215,165668,69978500,54173436000.0
2021-01-13,13,148099,4244500,50279610500.0
2021-01-12,5,148173,1705000,49193436000.0
2021-01-11,2,148248,709000,52257420000.0
2021-01-08,590,148213,228920000,53282573500.0
2021-01-07,9,157778,2659000,48043401000.0
2021-01-06,20,160858,5780000,45603243000.0
2021-01-05,14,151592,4046000,44113272000.0
2021-01-04,3671,152369,1063088500,43729903000.0
2020-12-30,270,155118,69005000,39632649000.0
2020-12-29,376,155523,94306000,39036273000.0
2020-12-28,36,139188,9000000,34797000000.0
2020-12-24,7,145642,1757000,36556142000.0
2020-12-23,9,153845,2209500,38615095000.0
2020-12-22,15,155495,3679500,37940780000.0
2020-12-21,17,155275,4233000,38663475000.0
2020-12-18,0,144717,0,36179250000.0
2020-12-17,0,156695,0,39017055000.0
2020-12-16,808,161975,204990500,41303625000.0
2020-12-15,280,162908,72161000,42193172000.0
2020-12-14,1834,145142,472688500,37446636000.0
2020-12-11,1184,138506,288113500,33656958000.0
2020-12-10,367,141107,89364500,34359554500.0
2020-12-09,5,129940,1207500,31380510000.0
2020-12-08,14,137146,3375000,33189332000.0
2020-12-07,0,137257,0,33284822500.0
2020-12-04,2,137923,491000,33998019500.0
2020-12-03,4,139255,982000,34187102500.0
2020-12-02,0,139966,0,33661823000.0
2020-12-01,0,141964,0,34426270000.0
2020-11-30,0,141187,0,34449628000.0
2020-11-27,9,145714,2236500,36209929000.0
2020-11-26,0,145234,0,35654947000.0
2020-11-25,0,143482,0,35511795000.0
2020-11-24,0,143009,0,35251718500.0
2020-11-23,26,143120,6227000,35422200000.0
2020-11-20,11,142305,2636500,34224352500.0
2020-11-19,126,141658,30617500,34422894000.0
2020-11-18,288,141273,70560000,34611885000.0
2020-11-17,16,139440,3880000,33814200000.0
2020-11-16,0,139228,0,34110860000.0
2020-11-13,0,138228,0,33174720000.0
2020-11-12,0,140954,0,33758483000.0
2020-11-11,0,136522,0,33174846000.0
2020-11-10,0,138542,0,33388622000.0
2020-11-09,0,135979,0,31615117500.0
2020-11-06,99,142084,22717500,32608278000.0
2020-11-05,437,141085,101821000,32872805000.0
2020-11-04,13,144748,2944500,32785422000.0
2020-11-03,0,147970,0,33441220000.0
2020-11-02,54,153627,12267000,34796515500.0
2020-10-30,72,153727,16236000,34665438500.0
2020-10-29,0,148074,0,35241612000.0
2020-10-28,91,147741,22936000,37304602500.0
2020-10-27,709,147766,175803500,36128787000.0
2020-10-26,216,146207,52649500,35601404500.0
2020-10-23,1,146207,234500,34285541500.0
2020-10-22,80,145541,18461000,34056594000.0
2020-10-21,0,144931,0,33551526500.0
2020-10-20,862,146038,202377500,34684025000.0
2020-10-19,5,148036,1112500,32938010000.0
2020-10-16,2,148036,458000,33900244000.0
2020-10-15,132,148212,30954000,34755714000.0
2020-10-14,176,146744,40774500,33971236000.0
2020-10-13,320,146660,75327000,34538430000.0
2020-10-12,22,165562,5005000,37582574000.0
2020-10-08,22,165192,5047500,37828968000.0
2020-10-07,0,160977,0,37829595000.0
2020-10-06,63,162435,14710500,37928572500.0
2020-10-05,458,162720,108269500,38401920000.0
2020-09-29,134,164385,30820000,37808550000.0
2020-09-28,349,164895,78900500,37101375000.0
2020-09-25,836,167407,186899000,37164354000.0
2020-09-24,968,169072,214005500,37364912000.0
2020-09-23,124,173968,28272000,39664704000.0
2020-09-22,73,167759,17082000,39255606000.0
2020-09-21,40,162131,9740000,39316767500.0
2020-09-18,0,167459,0,40190160000.0
2020-09-17,40,170105,9680000,41165410000.0
2020-09-16,388,172986,93677000,41949105000.0
2020-09-15,131,168530,30483500,39436020000.0
2020-09-14,138,172280,31892000,40055100000.0
2020-09-11,123,170837,27762000,38609162000.0
2020-09-10,303,172620,67872000,38666880000.0
2020-09-09,68,181285,15198000,40517197500.0
2020-09-08,253,181729,56935000,40979889500.0
2020-09-07,0,181840,0,41004920000.0
2020-09-04,0,179509,0,41287070000.0
2020-09-03,0,178066,0,41578411000.0
2020-09-02,0,180064,0,42405072000.0
2020-09-01,389,182395,91816500,43501207500.0
2020-08-31,320,184171,72099000,41254304000.0
2020-08-28,545,195353,123750500,44149778000.0
2020-08-27,0,196241,0,42584297000.0
2020-08-26,0,195544,0,43704084000.0
2020-08-25,59,201527,12950500,44235176500.0
2020-08-24,0,199862,0,43370054000.0
2020-08-21,106,198086,22581500,41796146000.0
2020-08-20,10,196643,2045000,40213493500.0
2020-08-19,9,191460,1953000,41546820000.0
2020-08-18,9,192122,1998000,41210169000.0
2020-08-14,16,200885,3560000,44998240000.0
2020-08-13,8,204548,1853500,46636944000.0
2020-08-12,0,207207,0,47554006500.0
2020-08-11,85,215858,20272500,51590062000.0
2020-08-10,377,218702,89772000,52051076000.0
2020-08-07,0,214448,0,47929128000.0
2020-08-06,124,212617,27635000,47307282500.0
2020-08-05,7,214579,1459500,45598037500.0
2020-08-04,6,214469,1248000,44609552000.0
2020-08-03,24,215024,4956000,44294944000.0
2020-07-31,60,214001,12510000,43977205500.0
2020-07-30,0,213845,0,45548985000.0
2020-07-29,24,213956,5088000,45358672000.0
2020-07-28,0,214067,0,43669668000.0
2020-07-27,1,212180,203500,43178630000.0
2020-07-24,559,216862,115581500,44131417000.0
2020-07-23,644,216418,135821000,45772407000.0
2020-07-22,1050,216196,224717500,45617356000.0
2020-07-21,1000,213865,217054000,46408705000.0
2020-07-20,1072,220922,237430000,49486528000.0
2020-07-17,1001,220372,218488000,48592026000.0
2020-07-16,1000,219817,217240000,46821021000.0
